path,class,label
Noodles-Pasta/15.jpg,Noodles-Pasta,6
Meat/207.jpg,Meat,5
Seafood/300.jpg,Seafood,8
Seafood/834.jpg,Seafood,8
Egg/677.jpg,Egg,3
Dessert/288.jpg,Dessert,2
Meat/230.jpg,Meat,5
Noodles-Pasta/26.jpg,Noodles-Pasta,6
Soup/1369.jpg,Soup,9
Dessert/876.jpg,Dessert,2
Meat/458.jpg,Meat,5
Fried food/663.jpg,Fried food,4
Vegetable-Fruit/533.jpg,Vegetable-Fruit,10
Dairy product/381.jpg,Dairy product,1
Meat/730.jpg,Meat,5
Meat/753.jpg,Meat,5
Fried food/703.jpg,Fried food,4
Seafood/331.jpg,Seafood,8
Soup/1128.jpg,Soup,9
Fried food/142.jpg,Fried food,4
Fried food/390.jpg,Fried food,4
Dairy product/279.jpg,Dairy product,1
Dairy product/139.jpg,Dairy product,1
Soup/506.jpg,Soup,9
Dessert/827.jpg,Dessert,2
Seafood/811.jpg,Seafood,8
Dessert/785.jpg,Dessert,2
Soup/489.jpg,Soup,9
Vegetable-Fruit/598.jpg,Vegetable-Fruit,10
Fried food/591.jpg,Fried food,4
Meat/409.jpg,Meat,5
Bread/35.jpg,Bread,0
Dairy product/370.jpg,Dairy product,1
Bread/267.jpg,Bread,0
Dessert/1219.jpg,Dessert,2
Soup/898.jpg,Soup,9
Fried food/468.jpg,Fried food,4
Noodles-Pasta/352.jpg,Noodles-Pasta,6
Rice/234.jpg,Rice,7
Seafood/496.jpg,Seafood,8
Dessert/1109.jpg,Dessert,2
Soup/939.jpg,Soup,9
Seafood/378.jpg,Seafood,8
Noodles-Pasta/72.jpg,Noodles-Pasta,6
Fried food/811.jpg,Fried food,4
Fried food/123.jpg,Fried food,4
Vegetable-Fruit/144.jpg,Vegetable-Fruit,10
Meat/812.jpg,Meat,5
Seafood/598.jpg,Seafood,8
Bread/383.jpg,Bread,0
Seafood/365.jpg,Seafood,8
Seafood/341.jpg,Seafood,8
Soup/1260.jpg,Soup,9
Seafood/70.jpg,Seafood,8
Fried food/819.jpg,Fried food,4
Meat/495.jpg,Meat,5
Vegetable-Fruit/91.jpg,Vegetable-Fruit,10
Seafood/61.jpg,Seafood,8
Egg/442.jpg,Egg,3
Meat/1088.jpg,Meat,5
Meat/852.jpg,Meat,5
Meat/243.jpg,Meat,5
Seafood/339.jpg,Seafood,8
Fried food/305.jpg,Fried food,4
Soup/1250.jpg,Soup,9
Egg/186.jpg,Egg,3
Soup/1279.jpg,Soup,9
Egg/888.jpg,Egg,3
Vegetable-Fruit/11.jpg,Vegetable-Fruit,10
Fried food/392.jpg,Fried food,4
Seafood/752.jpg,Seafood,8
Meat/104.jpg,Meat,5
Soup/620.jpg,Soup,9
Vegetable-Fruit/707.jpg,Vegetable-Fruit,10
Noodles-Pasta/162.jpg,Noodles-Pasta,6
Fried food/357.jpg,Fried food,4
Dessert/1012.jpg,Dessert,2
Meat/1171.jpg,Meat,5
Seafood/613.jpg,Seafood,8
Meat/627.jpg,Meat,5
Meat/279.jpg,Meat,5
Meat/292.jpg,Meat,5
Dessert/831.jpg,Dessert,2
Seafood/91.jpg,Seafood,8
Fried food/398.jpg,Fried food,4
Vegetable-Fruit/660.jpg,Vegetable-Fruit,10
Noodles-Pasta/351.jpg,Noodles-Pasta,6
Meat/764.jpg,Meat,5
Fried food/209.jpg,Fried food,4
Dessert/1007.jpg,Dessert,2
Soup/295.jpg,Soup,9
Vegetable-Fruit/197.jpg,Vegetable-Fruit,10
Dessert/761.jpg,Dessert,2
Egg/625.jpg,Egg,3
Dessert/708.jpg,Dessert,2
Seafood/254.jpg,Seafood,8
Soup/701.jpg,Soup,9
Soup/429.jpg,Soup,9
Dairy product/244.jpg,Dairy product,1
Egg/363.jpg,Egg,3
Fried food/658.jpg,Fried food,4
Soup/1244.jpg,Soup,9
Egg/489.jpg,Egg,3
Seafood/516.jpg,Seafood,8
Rice/91.jpg,Rice,7
Seafood/81.jpg,Seafood,8
Vegetable-Fruit/613.jpg,Vegetable-Fruit,10
Dairy product/67.jpg,Dairy product,1
Bread/211.jpg,Bread,0
Vegetable-Fruit/564.jpg,Vegetable-Fruit,10
Meat/68.jpg,Meat,5
Egg/565.jpg,Egg,3
Bread/633.jpg,Bread,0
Soup/1317.jpg,Soup,9
Fried food/213.jpg,Fried food,4
Dessert/396.jpg,Dessert,2
Egg/777.jpg,Egg,3
Dairy product/126.jpg,Dairy product,1
Fried food/152.jpg,Fried food,4
Dessert/548.jpg,Dessert,2
Soup/1141.jpg,Soup,9
Fried food/474.jpg,Fried food,4
Dessert/616.jpg,Dessert,2
Egg/858.jpg,Egg,3
Rice/143.jpg,Rice,7
Noodles-Pasta/63.jpg,Noodles-Pasta,6
Dessert/1299.jpg,Dessert,2
Soup/641.jpg,Soup,9
Meat/1018.jpg,Meat,5
Bread/208.jpg,Bread,0
Fried food/455.jpg,Fried food,4
Dairy product/365.jpg,Dairy product,1
Bread/195.jpg,Bread,0
Meat/997.jpg,Meat,5
Rice/248.jpg,Rice,7
Meat/251.jpg,Meat,5
Vegetable-Fruit/408.jpg,Vegetable-Fruit,10
Egg/839.jpg,Egg,3
Soup/1282.jpg,Soup,9
Dessert/1303.jpg,Dessert,2
Meat/611.jpg,Meat,5
Soup/136.jpg,Soup,9
